8000	10000	12000	14000	16000	18000	20000	22000	24000	26000	28000	30000	32000	34000	36000	38000	40000	
2.2	3	4	4.53333	5.13333	6.9	7.96667	8.8	10.1	10.3	11.3667	12.5667	12.7667	14.1333	15.1667	15.8333	16.3	
