500	700	900	1100	1300	1500	1700	1900	2100	2300	2500	2700	2900	3100	3300	3500	3700	3900	4100	4300	4500	4700	4900	
42.6	80.5667	136.367	193.767	267.433	354.767	449.9	562.933	682.7	816.7	960.867	1114.27	1285.7	1486.83	1675.53	1880.23	2105.7	2321.9	2557.03	2817.27	3090.83	3342.3	3657.77	
