1000	1500	2000	2500	3000	3500	4000	4500	5000	5500	6000	6500	7000	7500	8000	
544.967	1256.37	2253.73	3531.9	5122.37	6986.4	9166.4	11544.3	14240	17461.2	24446.4	27438.1	27871	31950.6	36516.3	
