500	700	900	1100	1300	1500	1700	1900	2100	2300	2500	2700	2900	3100	3300	3500	3700	3900	4100	4300	4500	4700	4900	
41.1333	81.6667	129.3	193.367	262.5	345.967	448.7	551.167	671.033	804.833	943.933	1157.7	1281.5	1463.5	1637.7	1857.97	2058.53	2301.7	2528.33	2764.47	3024.37	3281.53	3561.23	
